"DateTime","4RH","1RV","2RV","3RH","Series 5","Series 6","Series 7"
"2025-09-04 11:46:00",1.20321,0.87129,2.83019,0.91496,,,
"2025-09-04 11:46:00",1.20321,0.87129,2.83019,0.91496,,,
"2025-09-04 11:46:00",,0.87129,2.83019,0.91496,,,
"2025-09-04 11:46:00",,0.87129,,0.91496,,,
"2025-09-04 11:46:00",,0.87129,,0.91496,,,
"2025-09-04 11:46:00",,0.87129,,,,,
"2025-09-04 11:46:00",,0.87129,,,,,
"2025-09-04 11:46:00",,0.87129,,,,,
"2025-09-04 11:46:00",,0.87129,,,,,
"2025-09-04 12:46:00",1.30499,1.18018,4.38312,0.79232,,,
"2025-09-04 12:46:00",1.30499,1.18018,4.38312,0.79232,,,
"2025-09-04 12:46:00",1.30499,1.18018,4.38312,0.79232,,,
"2025-09-04 12:46:00",,1.18018,4.38312,0.79232,,,
"2025-09-04 12:46:00",,1.18018,4.38312,0.79232,,,
"2025-09-04 12:46:00",,,4.38312,0.79232,,,
"2025-09-04 12:46:00",,,,0.79232,,,
"2025-09-04 12:46:00",,,,0.79232,,,
"2025-09-04 13:46:00",1.15016,1.46254,4.3691,0.80535,,,
"2025-09-04 13:46:00",,1.46254,4.3691,0.80535,,,
"2025-09-04 13:46:00",,1.46254,4.3691,0.80535,,,
"2025-09-04 13:46:00",,1.46254,4.3691,0.80535,,,
"2025-09-04 13:46:00",,1.46254,4.3691,,,,
"2025-09-04 13:46:00",,1.46254,4.3691,,,,
"2025-09-04 13:46:00",,1.46254,4.3691,,,,
"2025-09-04 13:46:00",,1.46254,4.3691,,,,
"2025-09-04 13:46:00",,1.46254,,,,,
"2025-09-04 13:46:00",,1.46254,,,,,
"2025-09-04 13:46:00",,1.46254,,,,,
"2025-09-04 13:46:00",,1.46254,,,,,
"2025-09-04 13:46:00",,1.46254,,,,,
"2025-09-04 14:46:00",1.1605,1.62176,7.7773,0.81914,,,
"2025-09-04 14:46:00",1.1605,,7.7773,0.81914,,,
"2025-09-04 14:46:00",,,7.7773,0.81914,,,
"2025-09-04 14:46:00",,,7.7773,0.81914,,,
"2025-09-04 14:46:00",,,7.7773,0.81914,,,
"2025-09-04 14:46:00",,,,0.81914,,,
"2025-09-04 14:46:00",,,,0.81914,,,
"2025-09-04 15:46:00",1.17804,1.23245,5.28835,0.84744,,,
"2025-09-04 15:46:00",,1.23245,5.28835,0.84744,,,
"2025-09-04 15:46:00",,1.23245,5.28835,0.84744,,,
"2025-09-04 15:46:00",,1.23245,5.28835,0.84744,,,
"2025-09-04 15:46:00",,1.23245,5.28835,0.84744,,,
"2025-09-04 15:46:00",,1.23245,5.28835,0.84744,,,
"2025-09-04 15:46:00",,,5.28835,0.84744,,,
"2025-09-04 15:46:00",,,5.28835,0.84744,,,
"2025-09-04 15:46:00",,,5.28835,0.84744,,,
"2025-09-04 15:46:00",,,5.28835,,,,
"2025-09-04 16:46:00",1.15226,1.41437,5.97228,0.83273,,,
"2025-09-04 16:46:00",1.15226,1.41437,5.97228,0.83273,,,
"2025-09-04 16:46:00",,1.41437,5.97228,0.83273,,,
"2025-09-04 16:46:00",,1.41437,5.97228,0.83273,,,
"2025-09-04 16:46:00",,1.41437,5.97228,0.83273,,,
"2025-09-04 16:46:00",,1.41437,5.97228,,,,
"2025-09-04 16:46:00",,1.41437,,,,,
"2025-09-04 16:46:00",,1.41437,,,,,
"2025-09-04 16:46:00",,1.41437,,,,,
"2025-09-04 16:46:00",,1.41437,,,,,
"2025-09-04 16:46:00",,1.41437,,,,,
"2025-09-04 16:46:00",,1.41437,,,,,
