"DateTime","5RV","7RV","11RH","10RH","1RV","2RH","3RV","9RV"
"2026-01-13 07:02:00",7.57004,4.13944,502.902924,5.61265,7.10552,10.19059,3.04267,3.11005
"2026-01-13 08:02:00",7.62255,4.34694,213.347763,5.49086,6.53548,10.71503,2.78352,3.03398
"2026-01-13 09:02:00",7.41725,4.25275,158.430374,5.41745,6.93187,10.63685,2.88169,2.96948
"2026-01-13 10:02:00",7.83081,4.13567,279.1571,5.73719,6.63792,10.31168,2.93836,3.25185
"2026-01-13 11:02:00",8.03411,2.79632,314.535065,5.84443,7.16782,9.8202,3.12495,3.47822
"2026-01-13 12:02:00",3.57745,2.90312,230.735229,6.1199,13.34063,10.25096,2.84405,3.44346
"2026-01-13 13:02:00",3.96964,3.04389,705.048462,6.2036,14.76513,10.74949,3.12135,3.4464
"2026-01-13 14:02:00",3.71431,3.05609,76.69604,5.96913,13.65031,10.65058,2.99163,3.18239
"2026-01-13 15:02:00",3.50887,2.99514,223.708084,5.19203,12.65071,9.84701,2.68951,2.68269
"2026-01-13 16:02:00",3.62074,2.80943,116.679863,5.68373,13.49695,10.17111,3.05569,3.21076
"2026-01-13 17:02:00",3.4544,2.8277,260.578125,6.03307,13.53013,10.14995,3.13912,3.42651
"2026-01-13 18:02:00",3.72341,2.91351,69.54253,6.40298,13.99884,10.40678,3.17753,3.76398
"2026-01-13 19:02:00",3.66691,3.00264,295.967926,5.90752,14.15147,10.39127,3.05654,3.241
"2026-01-13 20:02:00",3.74148,2.97664,146.151276,5.99688,12.99072,10.30804,2.77884,3.1736
"2026-01-13 21:02:00",3.75666,2.77326,101.612846,6.08675,13.29976,10.53493,2.87054,3.46912
"2026-01-13 22:02:00",3.99443,2.95301,289.0569,6.49235,13.39215,10.38645,2.96411,3.78881
"2026-01-13 23:02:00",3.44857,2.91017,213.452179,5.83767,13.32797,10.24055,2.92619,3.23725
"2026-01-14 00:02:00",3.88775,2.81424,129.08876,6.18455,14.17659,10.76456,3.07734,3.49684
"2026-01-14 01:02:00",4.00083,3.04954,821.7653,6.10392,12.9974,10.26996,2.99612,3.4672
"2026-01-14 02:02:00",3.5782,3.09467,60.45366,5.79701,12.94489,10.26303,2.74476,3.3339
"2026-01-14 03:02:00",3.53154,2.82687,148.727478,5.89802,13.45095,9.96355,3.10542,3.3083
"2026-01-14 04:02:00",3.60003,2.76727,70.55214,6.51525,13.56282,10.09194,2.93504,3.91778
"2026-01-14 05:02:00",3.35409,2.85731,816.2236,5.6534,13.65188,10.07146,2.91116,3.13049
"2026-01-14 06:02:00",3.72318,2.84489,176.516846,6.14352,13.99555,10.09923,3.1346,3.52109
"2026-01-14 07:02:00",3.79906,3.14882,115.460571,6.05007,14.31114,10.59551,3.10797,3.38619
"2026-01-14 08:02:00",3.54128,3.12994,57.66561,5.9266,13.00468,10.44838,2.59433,3.18068
"2026-01-14 09:02:00",3.68097,3.12763,61.12166,5.5108,13.0335,10.46982,2.92928,3.05147
"2026-01-14 10:02:00",3.33525,2.99766,92.04061,6.00021,13.86951,10.46775,2.78721,3.35596
"2026-01-14 11:02:00",3.32008,2.72767,135.933411,5.71247,12.96584,10.17283,2.75474,3.27636
"2026-01-14 12:02:00",3.40855,2.69458,59.74697,5.92095,12.71703,9.84143,2.5416,3.31844
"2026-01-14 13:02:00",3.48121,2.85418,41.55156,5.95747,13.58885,9.99272,2.86968,3.26048
"2026-01-14 14:02:00",3.85482,2.97762,62.85478,5.89033,13.28303,10.09083,2.87253,3.24376
"2026-01-14 15:02:00",3.58801,3.25746,69.00679,5.67152,12.97291,10.3163,2.64991,2.98815
"2026-01-14 16:02:00",3.5734,2.97197,48.47081,5.74319,12.90179,10.24999,2.75663,3.07701
"2026-01-14 17:02:00",3.42732,2.89965,46.4038,5.80808,13.53903,10.40336,3.04402,3.19139
"2026-01-14 18:02:00",3.68683,2.86802,258.8134,6.27515,13.03089,10.08933,2.78459,3.5276
"2026-01-14 19:02:00",3.47911,2.77812,118.866112,5.74606,13.17262,9.8264,2.81642,3.19011
"2026-01-14 20:02:00",3.66638,2.94257,63.75269,5.82682,12.80939,9.96955,2.72735,3.13175
"2026-01-14 21:02:00",3.65535,2.99217,67.61143,5.59754,13.24688,10.00967,3.02275,3.16611
"2026-01-14 22:02:00",3.24881,2.76382,218.308273,5.64235,12.91039,9.51884,2.95463,3.16956
"2026-01-14 23:02:00",3.7232,2.75836,93.59522,6.04205,12.87171,9.66112,2.80878,3.53723
"2026-01-15 00:02:00",3.4441,3.03644,57.95205,5.51997,13.28196,9.89092,2.97937,3.06941
"2026-01-15 01:02:00",3.88465,2.92606,124.057007,6.27,13.72056,10.03424,2.97961,3.47794
"2026-01-15 02:02:00",3.46608,2.95675,49.30862,5.41226,12.46432,9.43252,2.87935,2.99936
"2026-01-15 03:02:00",3.35708,2.70064,89.92658,5.84386,12.86752,9.74838,2.64954,3.29376
"2026-01-15 04:02:00",3.69561,2.74296,166.888443,6.30796,13.75125,10.00712,2.96686,3.70022
"2026-01-15 05:02:00",3.66629,3.03051,1349.87769,5.89884,13.68961,10.15072,2.92711,3.25861
"2026-01-15 06:02:00",3.80371,2.93231,65.97812,6.22638,13.32233,10.01592,2.84766,3.46188
"2026-01-15 07:02:00",3.62233,3.05072,27.6284,5.704,13.27833,10.28201,2.84796,3.16299
"2026-01-15 08:02:00",3.77537,2.98953,51.15396,6.14564,13.4124,10.45934,2.82015,3.35054
"2026-01-15 09:02:00",3.80649,2.95603,64.51529,6.4379,14.17054,10.40829,3.00969,3.79834
"2026-01-15 10:02:00",3.6924,2.87753,197.3235,5.67372,12.94122,10.04999,2.79745,3.11966
"2026-01-15 11:02:00",3.80744,2.87072,85.95547,5.73716,13.73498,10.11447,3.19975,3.22095
"2026-01-15 12:02:00",3.52165,2.9653,92.47022,5.35394,12.82222,9.51285,3.06961,3.10135
"2026-01-15 13:02:00",3.37874,2.6695,32.31009,5.95834,12.75257,9.88839,2.55894,3.35823
"2026-01-15 14:02:00",3.58855,2.84587,564.5359,5.87102,13.27565,9.76241,2.9506,3.4196
"2026-01-15 15:02:00",3.56475,2.97464,51.81284,5.87972,13.68079,10.31725,2.8625,3.16892
"2026-01-15 16:02:00",3.81796,2.86693,347.560455,5.77018,13.40479,10.34344,2.69282,3.25491
"2026-01-15 17:02:00",3.72953,2.91106,533.919739,5.68701,13.49891,10.13306,3.00093,3.12227
"2026-01-15 18:02:00",3.67867,3.14972,347.857,5.7171,13.57057,10.69669,2.9348,3.07398
"2026-01-15 19:02:00",3.90893,2.80581,1046.77942,5.50607,13.76274,10.56645,3.2001,3.13771
"2026-01-15 20:02:00",3.93849,2.67271,76.72635,6.11479,13.71097,10.24601,3.00685,3.51012
"2026-01-15 21:02:00",3.49023,2.80178,113.6871,5.82881,13.13372,10.22207,2.59287,3.34751
"2026-01-15 22:02:00",3.93586,2.89343,147.079,6.89058,14.47191,10.53273,2.96683,4.14486
"2026-01-15 23:02:00",3.74809,2.9941,876.719,6.35173,14.23811,10.45931,2.87877,3.40757
"2026-01-16 00:02:00",3.70058,2.91696,450.813416,6.3376,13.78145,10.3841,2.84157,3.46469
"2026-01-16 01:02:00",3.48905,2.90036,97.24992,5.57278,13.51147,10.03965,3.11584,3.095
"2026-01-16 02:02:00",3.46979,2.76861,207.457748,5.88483,13.38239,10.48692,2.91374,3.38956
"2026-01-16 03:02:00",3.69612,2.90377,994.3882,6.48084,13.53386,10.49016,2.95364,3.81158
"2026-01-16 04:02:00",3.84281,3.05755,1081.79761,6.54303,13.82969,10.34144,2.94478,3.73614
"2026-01-16 05:02:00",3.23375,3.11997,145.521866,6.02782,13.20311,10.1985,2.67632,3.26924
"2026-01-16 06:02:00",4.11043,2.84215,772.5736,6.33644,13.42167,10.5433,2.98545,3.55417
"2026-01-16 07:02:00",3.73187,2.71762,281.8065,6.46618,14.02068,10.21639,3.11891,3.86289
