"DateTime","10RV","8RV","9RV","1RV","2RH","3RV","4RV","7RV"
"2026-04-15 23:56:00",1.3229,1.23486,2.65196,2.41902,1.5823,1.30886,1.07931,0.84402
"2026-04-16 00:56:00",1.53725,1.12162,2.90384,2.11433,1.55509,1.2117,0.96301,0.7741
"2026-04-16 01:56:00",1.34927,1.17275,5.01127,2.38092,1.48203,1.2662,1.01606,0.83993
"2026-04-16 02:56:00",1.44612,1.09895,4.16623,2.40399,1.50309,1.21285,0.96038,0.77856
"2026-04-16 03:56:00",1.51787,1.10558,4.23487,2.36109,1.50378,1.1603,0.95085,0.723
"2026-04-16 04:56:00",1.07835,1.14055,3.99419,2.95696,1.85429,1.31963,1.02995,0.82839
"2026-04-16 05:56:00",1.31956,1.15123,3.33939,3.17734,1.74149,1.26244,1.00403,0.7995
"2026-04-16 06:56:00",1.58396,1.08809,4.07047,2.36303,1.53784,1.20076,0.95759,0.76819
"2026-04-16 07:56:00",0.37304,0.38701,1.76833,0.72639,0.64324,0.44601,0.36268,0.29219
"2026-04-16 08:56:00",0.04697,0.04681,0.05474,0.11093,0.09464,0.0446,0.0396,0.05035
"2026-04-16 09:56:00",0.04781,0.04585,0.05182,0.05424,0.04481,0.04384,0.04311,0.06375
"2026-04-16 10:56:00",0.04553,0.05421,0.054,0.11121,0.08168,0.04597,0.05173,0.05762
"2026-04-16 11:56:00",0.0448,0.04703,0.0514,0.10978,0.0789,0.04815,0.04404,0.05632
"2026-04-16 12:56:00",0.04977,0.05167,0.05232,0.12001,0.08357,0.04843,0.05186,0.05254
"2026-04-16 13:56:00",0.04606,0.05142,0.04769,0.12195,0.0815,0.04443,0.04654,0.04912
"2026-04-16 14:56:00",0.04403,0.05467,0.05643,0.1227,0.0828,0.04469,0.04512,0.05448
"2026-04-16 15:56:00",0.04647,0.04043,0.04661,0.05732,0.04904,0.04368,0.03486,0.04541
"2026-04-16 16:56:00",0.04415,0.04065,0.04549,0.05996,0.05163,0.03611,0.03852,0.05158
"2026-04-16 17:56:00",0.04505,0.05104,0.04822,0.07146,0.05915,0.04669,0.05046,0.04818
"2026-04-16 18:56:00",0.04273,0.04594,0.04431,0.06797,0.05508,0.04003,0.04652,0.05173
"2026-04-16 19:56:00",0.0457,0.06155,0.06038,0.14163,0.0915,0.04841,0.04935,0.06148
"2026-04-16 20:56:00",0.04765,0.05787,0.05385,0.14591,0.09542,0.05111,0.05706,0.06015
"2026-04-16 21:56:00",0.04874,0.0561,0.0549,0.14798,0.10252,0.0481,0.04934,0.06042
"2026-04-16 22:56:00",0.05148,0.05625,0.05448,0.14865,0.10104,0.04674,0.05043,0.05461
"2026-04-16 23:56:00",0.04897,0.05716,0.05549,0.14292,0.0962,0.05038,0.05264,0.05556
"2026-04-17 00:56:00",0.04733,0.0588,0.05552,0.14924,0.10333,0.049,0.04748,0.06121
"2026-04-17 01:56:00",0.05172,0.05021,0.05478,0.15097,0.10182,0.04599,0.04555,0.05255
"2026-04-17 02:56:00",0.052,0.06473,0.06264,0.18064,0.12364,0.05577,0.05757,0.06086
"2026-04-17 03:56:00",1.60129,0.9865,2.46069,2.65033,2.10092,1.06975,0.84464,0.67082
"2026-04-17 04:56:00",1.42404,1.25113,2.48029,1.88809,1.65894,1.42661,1.08572,1.04356
"2026-04-17 05:56:00",1.52284,1.2237,3.00605,1.91459,1.86986,1.33543,1.0441,0.91875
"2026-04-17 06:56:00",1.45361,1.28484,3.34279,1.9132,1.76257,1.42761,1.10376,0.96462
"2026-04-17 07:56:00",1.54138,1.22766,3.12994,1.96612,1.65363,1.32356,1.04215,0.86935
"2026-04-17 08:56:00",1.36151,1.3542,3.47564,2.04406,1.6423,1.48956,1.1679,1.00108
"2026-04-17 09:56:00",1.53425,1.10581,4.3883,2.65414,2.06759,1.22305,0.92436,0.77699
"2026-04-17 10:56:00",1.44211,1.10115,4.83991,2.34555,2.01796,1.18592,0.8973,0.73227
"2026-04-17 11:56:00",1.39775,1.1424,3.15076,3.05073,2.18446,1.28515,0.96161,0.80896
