DateTime,1RV-O-T,2AX-O-T,2RV-O-T,3RV-O-T,6RV-O-T,7RV-O-T,8RV-O-T
2026-05-07 09:42:00,0.302,0.44158,0.40456,1.02121,1.3734,0.12081,1.10317
2026-05-07 10:42:00,0.29438,0.43899,0.37597,1.01178,1.32312,0.12128,1.10577
2026-05-07 11:42:00,0.30128,0.4453,0.3783,1.01731,1.38424,0.12193,1.11033
2026-05-07 12:42:00,0.29185,0.39593,0.36519,1.01793,1.38504,0.12645,1.10064
2026-05-07 13:42:00,0.28505,0.43503,0.34824,1.02624,1.34206,0.121,1.17328
2026-05-07 14:42:00,0.29167,0.4117,0.3508,1.02111,1.40161,0.12562,1.25225
2026-05-07 15:42:00,0.29702,0.41491,0.33877,1.02323,1.36047,0.11364,1.16663
2026-05-07 16:42:00,0.30275,0.43576,0.36327,1.01717,1.3639,0.11789,1.09877
2026-05-07 17:42:00,0.29544,0.46124,0.37438,1.01001,1.39836,0.1222,1.1939
2026-05-07 18:42:00,0.29836,0.49439,0.40041,1.01365,1.35883,0.16648,1.21518
2026-05-07 19:42:00,0.29844,0.49996,0.40191,1.00001,1.32559,0.11913,1.34059
2026-05-07 20:42:00,0.28971,0.53349,0.42184,1.0111,1.37009,0.10937,1.12403
2026-05-07 21:42:00,0.30077,0.51033,0.40246,1.02149,1.37869,0.11799,1.09374
2026-05-07 22:42:00,0.30171,0.54266,0.43771,1.00963,1.3666,0.1207,1.2159
2026-05-07 23:42:00,0.30658,0.50491,0.44219,1.01291,1.34328,0.11762,1.14292
2026-05-08 00:42:00,0.30689,0.56292,0.43936,0.99037,1.36913,0.11596,1.15347
2026-05-08 01:42:00,0.31727,0.54832,0.41641,1.00036,1.36967,0.11878,1.24049
2026-05-08 02:42:00,0.32391,0.51668,0.43376,1.0038,1.3812,0.11841,1.14534
2026-05-08 03:42:00,0.32822,0.56932,0.45682,1.00267,1.34207,0.11654,1.16091
2026-05-08 04:42:00,0.33527,0.60343,0.47059,1.0092,1.35459,0.1154,1.11678
2026-05-08 05:42:00,0.33721,0.56564,0.45806,1.00158,1.3569,0.1258,1.23444
2026-05-08 06:42:00,0.33093,0.52138,0.42739,1.01575,1.33222,0.11462,1.15469
2026-05-08 07:42:00,0.34017,0.6035,0.48111,1.01243,1.3822,0.12056,1.26891
2026-05-08 08:42:00,0.33931,0.5997,0.44952,1.0246,1.32532,0.12329,1.20766
2026-05-08 09:42:00,0.3211,0.55774,0.43054,1.00877,1.37306,0.12204,1.10114
2026-05-08 10:42:00,0.31245,0.4644,0.38899,1.01593,1.36589,0.13062,1.15639
2026-05-08 11:42:00,0.29498,0.46766,0.37707,1.01131,1.3836,0.13269,1.16555
2026-05-08 12:42:00,0.28912,0.50046,0.38283,1.02665,1.39645,0.12663,1.11659
2026-05-08 13:42:00,0.2902,0.55259,0.41527,1.02607,1.40592,0.13282,1.12126
2026-05-08 14:42:00,0.29107,0.5283,0.40511,1.02816,1.40503,0.12762,1.19988
2026-05-08 15:42:00,0.29243,0.52507,0.41429,1.02849,1.364,0.12353,1.19658
2026-05-08 16:42:00,0.29637,0.54145,0.4085,1.03483,1.39542,0.12247,1.18884
2026-05-08 17:42:00,0.29496,0.6014,0.45458,1.04672,1.40916,0.14085,1.14117
2026-05-08 18:42:00,0.29375,0.56534,0.43861,1.03164,1.35396,0.13015,1.12952
2026-05-08 19:42:00,0.30088,0.61074,0.46216,1.04481,1.36518,0.12958,1.0581
2026-05-08 20:42:00,0.293,0.55935,0.44787,1.03014,1.39332,0.12629,1.11932
2026-05-08 21:42:00,0.30363,0.59044,0.4398,1.02717,1.40063,0.16656,1.16271
2026-05-08 22:42:00,0.30728,0.62254,0.46775,1.02517,1.39385,0.14981,1.22715
